,AirfoilName
675,goe381-il
676,goe382-il
677,goe383-il
678,goe384-il
679,goe385-il
680,goe386-il
681,goe387-il
682,goe388-il
683,goe389-il
684,goe390-il
685,goe391-il
686,goe392-il
687,goe393-il
688,goe394-il
689,goe395-il
690,goe396-il
691,goe397-il
692,goe398-il
693,goe399-il
694,goe400-il
695,goe401-il
696,goe402-il
697,goe403-il
698,goe404-il
699,goe405-il
700,goe406-il
701,goe407-il
702,goe408-il
703,goe409-il
704,goe410-il
705,goe411-il
706,goe412-il
707,goe413-il
708,goe414-il
709,goe415-il
710,goe416a-il
711,goe417-il
712,goe417a-il
713,goe418-il
714,goe419-il
715,goe420-il
716,goe421-il
717,goe422-il
718,goe423-il
719,goe424-il
720,goe425-il
721,goe426-il
722,goe427-il
723,goe428-il
724,goe429-il
725,goe430-il
726,goe431-il
727,goe432-il
728,goe433-il
729,goe434-il
730,goe435-il
731,goe436-il
732,goe437-il
733,goe438-il
734,goe439-il
735,goe440-il
736,goe441-il
737,goe442-il
738,goe443-il
739,goe444-il
740,goe445-il
741,goe446-il
742,goe447-il
743,goe448-il
744,goe449-il
745,goe450-il
746,goe451-il
747,goe456-il
748,goe457-il
749,goe458-il
750,goe459-il
751,goe460-il
752,goe462-il
753,goe464-il
754,goe474-il
755,goe476-il
756,goe477-il
757,goe478-il
758,goe479-il
759,goe480-il
760,goe481-il
761,goe481a-il
762,goe482-il
763,goe483-il
764,goe484-il
765,goe488-il
766,goe490-il
767,goe491-il
768,goe492-il
769,goe493-il
770,goe494-il
771,goe495-il
772,goe496-il
773,goe497-il
774,goe498-il
775,goe499-il
776,goe500-il
777,goe501-il
778,goe502-il
779,goe503-il
780,goe504-il
781,goe505-il
782,goe506-il
783,goe507-il
784,goe508-il
785,goe509-il
786,goe510-il
787,goe511-il
788,goe512-il
789,goe513-il
790,goe514-il
791,goe515-il
792,goe517-il
793,goe518-il
794,goe522-il
795,goe523-il
796,goe525-il
797,goe526-il
798,goe527-il
799,goe528-il
800,goe529-il
801,goe530-il
802,goe531-il
803,goe532-il
804,goe533-il
805,goe534-il
806,goe535-il
807,goe54-il
808,goe546-il
809,goe547-il
810,goe548-il
811,goe549-il
812,goe55-il
813,goe550-il
814,goe553-il
815,goe559-il
816,goe561-il
817,goe562-il
818,goe563-il
819,goe564-il
820,goe565-il
821,goe566-il
822,goe567-il
823,goe57-il
824,goe570-il
825,goe571-il
826,goe572-il
827,goe573-il
828,goe574-il
829,goe575-il
830,goe584-il
831,goe585-il
832,goe587-il
833,goe590-il
834,goe591-il
835,goe592-il
836,goe593-il
837,goe595-il
838,goe596-il
839,goe598-il
840,goe599-il
841,goe600-il
842,goe601-il
843,goe602-il
844,goe602m-il
845,goe604-il
846,goe610b-il
847,goe610bm-il
848,goe611-il
849,goe612-il
850,goe613-il
